X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-1.454;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.889
-1.48243;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.91743
-1.510861;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.945861
-1.539291;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.974291
-1.567722;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.002722
-1.596152;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.031152
-1.624583;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.059583
-1.653013;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.088013
-1.681444;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.116444
-1.709874;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.738305;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.173305
-1.709874;-3.945924;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.679874;-3.869848;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.114874
-1.649874;-3.797696;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.084874
-1.619874;-3.729468;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.054874
-1.589874;-3.665164;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.024874
-1.559874;-3.604784;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.994874
-1.529874;-3.548328;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.964874
-1.499874;-3.495796;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.934874
-1.469875;-3.447188;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.402504;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.361744;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.324908;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.291996;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.263008;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.237944;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.216804;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.199588;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.469875;-3.186296;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.904875
-1.529874;-3.171484;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.964874
-1.589874;-3.172368;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.024874
-1.649874;-3.188947;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.084874
-1.709874;-3.221223;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.709874;-3.299067;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.709874;-3.412227;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.709874;-3.618043;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.709874;-3.886643;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.709874;-3.953578;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1448739999999997
-1.583418;-3.951184;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950323;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950142;0;0;1.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950097;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950081;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950068;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950058;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.95005;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950043;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950038;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950034;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950031;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950028;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950026;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950024;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.583418;-3.950023;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.018418
-1.611849;-3.950021;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.046849
-1.640279;-3.95002;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.075279
-1.66871;-3.950019;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.10371
-1.69714;-3.950019;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.13214
-1.725571;-3.950018;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.160571
-1.754001;-3.950018;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1890009999999998
