X;Y;Attack1;Attack2;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-4.154894;-3.945924;0;0;0;0;0;0;-3.225614;-3.958684;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.225705;-3.883268;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.233377;-3.807693;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.241048;-3.736042;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.248719;-3.668315;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.25639;-3.604512;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.264061;-3.544633;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.261075;-3.501794;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.25809;-3.46288;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.255104;-3.427889;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.252118;-3.396822;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.249132;-3.36968;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.254659;-3.332855;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.260186;-3.299954;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.265713;-3.270977;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.27124;-3.245924;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.276766;-3.224795;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.273509;-3.207694;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.270251;-3.194518;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.266994;-3.185265;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.263736;-3.179936;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.260479;-3.178531;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.261053;-3.194089;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.261626;-3.21357;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.2622;-3.236975;0;Shoot
-4.154894;-3.945924;0;0;0;0;0;0;-3.262774;-3.264305;0;Shoot
-4.183324;-3.945924;0;0;0;0;0;0;-3.263348;-3.295558;0;Shoot
-4.211755;-3.945924;0;0;0;0;0;0;-3.258863;-3.325718;0;Shoot
-4.240185;-3.945924;0;0;0;0;0;0;-3.254378;-3.359802;0;Shoot
-4.268616;-3.945924;0;0;0;0;0;0;-3.249893;-3.39781;0;Shoot
-4.297046;-3.945924;0;0;0;0;0;0;-3.245409;-3.439742;0;Shoot
-4.325477;-3.945924;0;0;0;0;0;0;-3.240924;-3.485598;0;Shoot
-4.353907;-3.945924;0;0;0;0;0;0;-3.250804;-3.527919;0;Shoot
-4.382338;-3.945924;0;0;0;0;0;0;-3.260685;-3.574165;0;Shoot
-4.410768;-3.945924;0;0;0;0;0;0;-3.270566;-3.624334;0;Shoot
-4.439198;-3.945924;0;0;0;0;0;0;-3.280447;-3.678427;0;Shoot
-4.467629;-3.945924;0;0;0;0;0;0;-3.290328;-3.736445;0;Shoot
-4.496059;-3.945924;0;0;0;0;0;0;-3.296126;-3.798201;0;Shoot
-4.52449;-3.945924;0;0;0;0;0;0;-3.301925;-3.86388;0;Shoot
-4.55292;-3.945924;0;0;0;0;0;0;-3.307723;-3.933484;0;Shoot
-4.581351;-3.945924;0;0;0;0;0;0;-3.313522;-4.007012;0;Shoot
-4.609781;-3.945924;0;0;0;0;0;0;-3.31932;-3.927504;0;Shoot
-4.638212;-3.945924;0;0;0;0;0;0;-3.338236;-3.862348;0;Shoot
-4.666642;-3.945924;0;0;0;0;0;0;-3.357151;-3.801116;0;Shoot
-4.638212;-3.945924;0;0;0;0;0;0;-3.376067;-3.743807;0;Shoot
-4.609781;-3.945924;0;0;0;0;0;0;-3.394982;-3.690423;0;Shoot
-4.581351;-3.945924;0;0;0;0;0;0;-3.413898;-3.640963;0;Shoot
-4.55292;-3.945924;0;0;0;0;0;0;-3.41819;-3.581543;0;Shoot
-4.52449;-3.945924;0;0;0;0;0;0;-3.422483;-3.526047;0;Shoot
-4.496059;-3.945924;0;0;0;0;0;0;-3.426776;-3.474475;0;Shoot
-4.467629;-3.945924;0;0;0;0;0;0;-3.431069;-3.426827;0;Shoot
-4.439198;-3.945924;0;0;0;0;0;0;-3.435362;-3.383104;0;Shoot
-4.410768;-3.945924;0;0;0;0;0;0;-3.438535;-3.351368;0;Shoot
-4.382338;-3.945924;0;0;0;0;0;0;-3.441708;-3.323557;0;Shoot
-4.353907;-3.945924;0;0;0;0;0;0;-3.444881;-3.29967;0;Shoot
-4.325477;-3.945924;0;0;0;0;0;0;-3.448054;-3.279707;0;Shoot
-4.297046;-3.945924;0;0;0;0;0;0;-3.451227;-3.263668;0;Shoot
-4.268616;-3.945924;0;0;0;0;0;0;-3.455435;-3.247682;0;Shoot
-4.240185;-3.945924;0;0;0;0;0;0;-3.459643;-3.235621;0;Shoot
-4.210185;-3.869848;0;0;0;0;0;0;-3.463851;-3.227483;0;Shoot
-4.180185;-3.797696;0;0;0;0;0;0;-3.468059;-3.22327;0;Shoot
-4.150185;-3.729468;0;0;0;0;0;0;-3.472267;-3.22298;0;Shoot
-4.150185;-3.665164;0;0;0;0;0;0;-3.478951;-3.24054;0;Shoot
-4.120184;-3.604784;0;0;0;0;0;0;-3.485634;-3.262024;0;Shoot
-4.090184;-3.548328;0;0;0;0;0;0;-3.492317;-3.287431;0;Shoot
-4.060184;-3.495796;0;0;0;0;0;0;-3.499001;-3.316763;0;Shoot
-4.030184;-3.447188;0;0;0;0;0;0;-3.505684;-3.350019;0;Shoot
-4.000184;-3.402504;0;0;0;0;0;0;-3.510744;-3.368292;0;Punch
-3.970184;-3.361744;0;0;0;0;0;0;-3.515803;-3.39049;0;Punch
-3.940184;-3.324908;0;0;0;0;0;0;-3.520863;-3.416611;0;Punch
-3.910184;-3.291996;0;0;0;0;0;0;-3.525923;-3.446657;0;Punch
